time;lognorm;type;scheme;T;backend
3.258366749;-24.151619815935547;ZJA;ZJA(0.070556640625);51;CPU
3.568491222;-25.430233500149228;ZJA;ZJA(0.070556640625);56;CPU
3.711953209;-28.197604823122035;ZJA;ZJA(0.070556640625);58;CPU
3.682505416;-26.682580596463573;ZJA;ZJA(0.070556640625);58;CPU
3.682112388;-28.376239932527923;ZJA;ZJA(0.070556640625);57;CPU
3.384843087;-24.26745376514497;ZJA;ZJA(0.070556640625);53;CPU
7.508817793;-25.91244467150375;ZJA;ZJA(0.01763916015625);118;CPU
7.258254439;-23.83173015123671;ZJA;ZJA(0.01763916015625);113;CPU
8.113012323;-28.932498451839784;ZJA;ZJA(0.01763916015625);127;CPU
7.426740651;-24.270264689140916;ZJA;ZJA(0.01763916015625);117;CPU
8.12865936;-27.660635332758346;ZJA;ZJA(0.01763916015625);129;CPU
7.669115742;-24.821482392020187;ZJA;ZJA(0.01763916015625);120;CPU
7.997462671;-26.06849027566016;ZJA;ZJA(0.01763916015625);126;CPU
7.699840386;-25.384908973807963;ZJA;ZJA(0.01763916015625);122;CPU
6.903219508;-23.533280253288876;ZJA;ZJA(0.01763916015625);110;CPU
7.746453856;-25.936111389895075;ZJA;ZJA(0.01763916015625);123;CPU
0.003655163;-225.22382564330513;SAIS;SAIS{...}(4, 0.0:1.0:1.0);16;GPU
0.003811254;-28.869849388981635;SAIS;SAIS{...}(4, 0.0:1.0:1.0);16;GPU
0.003389886;-259.76800833056893;SAIS;SAIS{...}(4, 0.0:1.0:1.0);16;GPU
0.003411742;-43.79653463672123;SAIS;SAIS{...}(4, 0.0:1.0:1.0);16;GPU
0.018207522;-178.91591940234625;SAIS;SAIS{...}(4, 0.0:1.0:1.0);16;GPU
0.003735676;-22.978312590822796;SAIS;SAIS{...}(4, 0.0:1.0:1.0);16;GPU
0.003675434;-84.34862814258061;SAIS;SAIS{...}(4, 0.0:1.0:1.0);16;GPU
0.003427404;-21.910340577748983;SAIS;SAIS{...}(4, 0.0:1.0:1.0);16;GPU
0.003667848;-195.81593759124627;SAIS;SAIS{...}(4, 0.0:1.0:1.0);16;GPU
0.015958589;-126.0093489677759;SAIS;SAIS{...}(4, 0.0:1.0:1.0);16;GPU
0.014987617;-50.90765340274768;SAIS;SAIS{...}(5, 0.0:1.0:1.0);32;GPU
0.005541559;-28.869849388981635;SAIS;SAIS{...}(5, 0.0:1.0:1.0);32;GPU
0.015833415;-82.06301337168308;SAIS;SAIS{...}(5, 0.0:1.0:1.0);32;GPU
0.014921432;-43.50339275071214;SAIS;SAIS{...}(5, 0.0:1.0:1.0);32;GPU
0.029901358;-178.91591940234625;SAIS;SAIS{...}(5, 0.0:1.0:1.0);32;GPU
0.02098499;-82.73949689585373;SAIS;SAIS{...}(5, 0.0:1.0:1.0);32;GPU
0.0119045;-84.34790211978687;SAIS;SAIS{...}(5, 0.0:1.0:1.0);32;GPU
0.015042179;-21.910340577748983;SAIS;SAIS{...}(5, 0.0:1.0:1.0);32;GPU
0.01495642;-134.65359125300088;SAIS;SAIS{...}(5, 0.0:1.0:1.0);32;GPU
0.014993925;-126.0093489677759;SAIS;SAIS{...}(5, 0.0:1.0:1.0);32;GPU
0.014984138;-34.29288036798082;SAIS;SAIS{...}(6, 0.0:1.0:1.0);64;GPU
0.012235516;-28.86983058908303;SAIS;SAIS{...}(6, 0.0:1.0:1.0);64;GPU
0.038696774;-60.37182281828432;SAIS;SAIS{...}(6, 0.0:1.0:1.0);64;GPU
0.014938685;-24.668151832990446;SAIS;SAIS{...}(6, 0.0:1.0:1.0);64;GPU
0.015659672;-55.67212340384215;SAIS;SAIS{...}(6, 0.0:1.0:1.0);64;GPU
0.009182142;-28.21053583241452;SAIS;SAIS{...}(6, 0.0:1.0:1.0);64;GPU
0.008904367;-48.14299451796798;SAIS;SAIS{...}(6, 0.0:1.0:1.0);64;GPU
0.009190308;-23.200186827832923;SAIS;SAIS{...}(6, 0.0:1.0:1.0);64;GPU
0.008781436;-50.278613631704154;SAIS;SAIS{...}(6, 0.0:1.0:1.0);64;GPU
0.00860082;-43.56110075655323;SAIS;SAIS{...}(6, 0.0:1.0:1.0);64;GPU
0.037613685;-26.317286417440314;SAIS;SAIS{...}(7, 0.0:1.0:1.0);128;GPU
0.016148984;-35.123587110410284;SAIS;SAIS{...}(7, 0.0:1.0:1.0);128;GPU
0.014893036;-23.82013735704037;SAIS;SAIS{...}(7, 0.0:1.0:1.0);128;GPU
0.020692567;-24.509452783562928;SAIS;SAIS{...}(7, 0.0:1.0:1.0);128;GPU
0.023969355;-25.843364492596017;SAIS;SAIS{...}(7, 0.0:1.0:1.0);128;GPU
0.015894563;-22.82471663877143;SAIS;SAIS{...}(7, 0.0:1.0:1.0);128;GPU
0.01660906;-23.45149485533871;SAIS;SAIS{...}(7, 0.0:1.0:1.0);128;GPU
0.041751223;-31.709161107777533;SAIS;SAIS{...}(7, 0.0:1.0:1.0);128;GPU
0.015821863;-28.025933040417918;SAIS;SAIS{...}(7, 0.0:1.0:1.0);128;GPU
0.015547237;-25.68636704968239;SAIS;SAIS{...}(7, 0.0:1.0:1.0);128;GPU
0.029818502;-24.597904155333133;SAIS;SAIS{...}(8, 0.0:1.0:1.0);256;GPU
